"id_componente";"tipo_componente";"codigo";"nivel";"nome";"unidade_responsavel";"ch_teorico";"ch_pratico";"ch_estagio";"ch_total";"ch_dedicada_docente";"ch_ead";"ementa";"bibliografia";"equivalencia";"pre_requisito";"co_requisito";"objetivos";"conteudo";"competencias_habilidades";"referencias";"ano_programa";"periodo_programa";"procedimentos_avaliacao";"modalidade";"curso_componente"
"54409";"MODULO";"EM 2143";"L";"Pedagogia e Fazeres em Educação Musical IV";"ESCOLA DE MÚSICA";"40";"0";"0";"40";"0";"0";"Concepção e execução de musicais didáticos como recurso para a vivência artística e aprendizagem musical. Elaboração de roteiros, montagem de repertório, preparação coreográfica e musical dos alunos.";"";"";"";"";"";"";"";"";"";"";"";"Semi-Presencial";"ENSINO DE ARTES NA EDUCAÇÃO BASICA: MUSICA"
"54410";"MODULO";"EM 2144";"L";"Pesquisa em Música I";"ESCOLA DE MÚSICA";"40";"0";"0";"40";"0";"0";"Os fundamentos, as principais definições metodológicas, a elaboração e a estruturação da ciência, do conhecimento e da pesquisa. O entendimento e organização do conhecimento científico e sua produção na universidade; aplicação das normas para elaboração e redação de trabalhos científicos.";"";"";"";"";"Proporcionar ao aluno fundamentos e caminhos possíveis para a pesquisa científica, incentivando a reflexão e uma nova perspectiva sobre o contexto em que se inserem e sobre o mundo: um olhar científico, disciplinado, curioso, indagador e criativo.";"-          Conceito de conhecimento, pesquisa e ciência;
-          Tipos de conhecimento;
-          Elementos filosóficos e epistemológicos necessários a iniciação científica;
-          Conhecendo a Universidade;
-          A ciência, o sistema de comunicação científica e a literatura científica;
-          Organização da vida de estudos na Universidade
-          Pesquisa quantitativa e qualitativa
-          Como elaborar trabalhos de pesquisa;
-          Apresentação formal do trabalho acadêmico;
-          Citações;
-          Normas para publicações;
-       Normas para apresentação de trabalhos científicos";" -          Ser capaz de compreender elementos sobre a construção do conhecimento, da pesquisa e da ciência;
-          Ser capaz de identificar os elementos filosóficos e epistemológicos necessários a iniciação científica;
-          Identificar as formas de construção de conhecimento oferecidas pela universidade e os modos de organização da vida acadêmica;
-          Ser capaz de utilizar o sistema de comunicação científica e a literatura científica da área de música e afins;
-          Ser capaz de construir argumentos e debater com propriedade sobre os tópicos estudados;
-          Elaborar trabalhos de pesquisa como resenhas, resumos e estruturas de tópicos;
-          Ser capaz de apresentar formalmente trabalhos acadêmicos através de exposições em formato oral e/ou escrito. ";"";"2013";"2";"";"Semi-Presencial";"ENSINO DE ARTES NA EDUCAÇÃO BASICA: MUSICA"
"54411";"MODULO";"EM 2145";"L";"O ENSINO DE MÚSICA NA CONTEMPORANEIDADE";"ESCOLA DE MÚSICA";"40";"0";"0";"40";"0";"0";"Os paradigmas contemporâneos para a Educação Musical e o papel do professor. Concepções e perspectivas para o Ensino de Música.";"";"";"";"";"Os paradigmas contemporâneos para a Educação Musical e o papel do professor. Concepções e perspectivas para o Ensino de Música.";". considerações sobre as grandes mudanças ocorridas no século XX em todos os campos do saber.
. novos modos de compreender e aprender
. influência das condições apontadas no ensino de música
. organização dos conteúdos em formato não linear; a formações de redes dentro de redes. 
. desenvolvimento da capacidade de escuta
	. sentidos  janelas para o mundo
	. a escuta sensível
. O papel do jogo na educação musical
.  abordagens criativas em educação musical  retrospectiva a partir do pensamento de educadores musicais das décadas de 1960 e 70.
. laboratórios de criação musical:
	. observação de aspectos materiais; 
	. busca de sentidos pessoais a partir da observação
	. busca da expressão poética
	. busca da expressão musical
	. da expressão individual à expressão coletiva  construção de pequenas obras musicais.
. reflexão a respeito dsos conteúdos desenvolvidos. ";"Consciência das alterações nos modos de compreender e aprender característicos da contemporaneidade e percepção de como essas transformações se mostram na realidade escolar.  Percepção do distanciamento via de regra  existente entre professor e alunos, e busca de pontes que fortaleçam a relação professor/aluno/instituição de ensino, a partir do desenvolvimento de propostas criativas.  ";"";"2013";"2";"";"Semi-Presencial";"ENSINO DE ARTES NA EDUCAÇÃO BASICA: MUSICA"
"54412";"MODULO";"EM 2146";"L";"Ensino de Música e o Contexto Escolar";"ESCOLA DE MÚSICA";"40";"0";"0";"40";"0";"0";"Os aspectos teórico-metodológicos no Ensino de Música na Educação Básica. Aprofundamento sobre as especificidades no Ensino de Música na Educação infantil; no Ensino fundamental I e II e no Ensino Médio.";"";"";"";"";"Os aspectos teórico-metodológicos no Ensino de Música na Educação Básica. Aprofundamento sobre as especificidades no Ensino de Música na Educação infantil; no Ensino fundamental I e II e no Ensino Médio.";"Os aspectos teórico-metodológicos no Ensino de Música na Educação Básica
	Educação Musical: algumas (des)orientações
	Aspectos legais do Ensino de Música na Escola
	Professores de Música na escola: um espaço de atuação profissional
	A voz como instrumento de mediação do professor de música
Educação Musical na Educação Básica
	Educação básica: que espaço é este;
	Desafios de ensinar música na sala de aula;
	Planejamento de ensino e aula de música;
Educação Musical na Educação Infantil
	A infância do cuidar e do brincar: aprendendo
	Planejamentos de aulas para a infância
	Repertórios e jogos musicais
	Professor unidocente e professor especialista
Educação Musical no Ensino Fundamental (1º ao 5º ano e 6º ao 9º ano)
	Iniciando a escolarização: ler, escrever, etc
	Planejamentos de aulas para a infância
	Repertórios e jogos musicais
	Professor unidocente e professor especialista
Educação Musical no Ensino Médio
	O contexto do ensino médio
	Aula de música no ensino médio
	Repertórios
Pensando em pesquisas no contexto da educação básica
	temas,
	métodos.";"Percepção de pontos de contato e de distanciamento entre os diferentes níveis de ensino com relação a aula de música na educação básica. Compreensão do profissional-professor de música em um contexto de ensino: educação básica. Compreensão de formas de produção de planejamentos para cada um destes níveis. Realização de performances musicais em grupo que provoquem a relação com pensar acerca da produção do aluno. ";"";"2013";"2";"";"Semi-Presencial";"ENSINO DE ARTES NA EDUCAÇÃO BASICA: MUSICA"
"54415";"MODULO";"EM 2147";"L";"PEDAGOGIA E FAZERES EM EDUCAÇÃO MUSICAL I";"ESCOLA DE MÚSICA";"40";"0";"0";"40";"0";"0";"Vivências rítmico-sonoras em educação musical. A utilização do corpo como recurso para a aprendizagem musical. Utilização de Jogos musicais como ferramentas para o ensino-aprendizagem de música.";"";"";"";"";"*	Analisar e discutir os pressupostos teóricos e metodológicos do ensino da Música, buscando redefinições no fazer pedagógico. 
*	Desenvolver um processo de discussão sobre os fundamentos da corporeidade na educação musical, estabelecendo articulações entre educação, corporeidade e ensino de música.";"* Tópicos em educação musical:
Aprofundamento da compreensão dos vários modos de apresentação da música enquanto processo dinâmico na educação musical: vivências rítimico-sonoras enquanto ferramentas propositoras para o ensino-aprendizagem da música na escola.
";"*	Compreender os pressupostos teóricos e metodológicos do ensino da Música;
*	Redefinir seu fazer pedagógico à luz das novas propostas de ensino e aprendizagem;
*	Estabelecer articulações entre educação, corporeidade e o ensino de música no contexto escolar.";"";"2013";"2";"";"Semi-Presencial";"ENSINO DE ARTES NA EDUCAÇÃO BASICA: MUSICA"
"54419";"MODULO";"DMP0001";"L";"LEITURA E PRODUÇÃO DE TEXTOS EM EDUCAÇÃO AMBIENTAL";"DEPARTAMENTO DE MICROBIOLOGIA E PARASITOLOGIA";"36";"9";"0";"45";"0";"0";"Gêneros e tipos textuais. Estratégias de leitura. Erros gramaticais mais comuns. Estrutura da dissertação: conteúdo da introdução, desenvolvimento e conclusão. Elementos de coerência aplicados ao texto dissertativo. Conectores coesivos e sua aplicação na argumentação. Referência textual.";"";"";"";"";"";"";"";"";"";"";"";"Semi-Presencial";"EDUCAÇÃO AMBIENTAL PARA ESCOLAS SUSTENTÁVEIS"
"54420";"MODULO";"DMP0002";"L";"INTRODUÇÃO A EDUCAÇÃO AMBIENTAL";"DEPARTAMENTO DE MICROBIOLOGIA E PARASITOLOGIA";"36";"9";"0";"45";"0";"0";"Origens do conceito de sustentabilidade. EA e desenvolvimento sustentável. História da EA. Movimento ambiental. Eventos importantes de Educação Ambiental e documentos gerados. Institucionalização da EA no Brasil e no MEC. Programas de EA para as escolas (Com-Vida na escola; Coletivos Jovens na escola; redes de educadores ambientais). ";"";"";"";"";"";"";"";"";"";"";"";"Semi-Presencial";"EDUCAÇÃO AMBIENTAL PARA ESCOLAS SUSTENTÁVEIS"
"54421";"MODULO";"DMP0003";"L";"METODOLOGIA DO TRABALHO CIENTÍFICO";"DEPARTAMENTO DE MICROBIOLOGIA E PARASITOLOGIA";"36";"9";"0";"45";"0";"0";"Fundamentos da metodologia científica. A comunicação científica. Métodos e técnicas de pesquisa. O projeto de pesquisa/intervenção. A organização de texto científico. Normas da ABNT. Normas para elaboração de trabalhos acadêmicos. Concepção e produção de material didático. ";"";"";"";"";"";"";"";"";"";"";"";"Semi-Presencial";"EDUCAÇÃO AMBIENTAL PARA ESCOLAS SUSTENTÁVEIS"
"54422";"MODULO";"DMP0004";"L";"DESENVOLVIMENTO DE PROJETOS SOCIOAMBIENTAIS NA ESCOLA";"DEPARTAMENTO DE MICROBIOLOGIA E PARASITOLOGIA";"36";"9";"0";"45";"0";"0";"Metodologias de Pesquisa participativa. Percepção Ambiental. Os saberes necessários à educação do futuro. Gestão escolar, currículo e escolas sustentáveis. Projeto político pedagógico e EA Escolar. Plano de ação da proposta de aplicação no ambiente escolar. ";"";"";"";"";"";"";"";"";"";"";"";"Semi-Presencial";"EDUCAÇÃO AMBIENTAL PARA ESCOLAS SUSTENTÁVEIS"
"54423";"MODULO";"DMP0005";"L";"EDUCAÇÃO AMBIENTAL PARA A SUSTENTABILIDADE";"DEPARTAMENTO DE MICROBIOLOGIA E PARASITOLOGIA";"36";"9";"0";"45";"0";"0";"Conceitos básicos de ecologia. Poluição do solo, do ar e da água. A água no contexto da sustentabilidade. Educação Ambiental no contexto do ensino formal. EA nos livros didáticos. EA e mudança de paradigma. EA e escolas sustentáveis.";"";"";"";"";"";"";"";"";"";"";"";"Semi-Presencial";"EDUCAÇÃO AMBIENTAL PARA ESCOLAS SUSTENTÁVEIS"
